id,quality
1257,7
6409,6
136,5
1631,7
6084,6
5434,6
1094,5
5146,7
5921,6
1076,6
616,6
4336,7
219,6
6403,6
2397,7
5240,7
3696,6
1070,6
5890,5
1270,5
4641,5
5299,6
2494,5
5276,7
332,6
3671,4
6367,6
5681,7
1741,5
4715,7
1114,8
4105,6
825,4
88,7
4551,6
227,5
1369,7
3722,8
2341,6
4882,8
2382,4
4075,6
687,5
2350,4
2634,3
5751,5
5934,6
6286,5
6004,6
4696,7
5628,4
3066,5
6267,4
3950,6
1834,6
848,7
5852,6
3034,6
1074,6
1184,5
3788,6
3267,7
5640,8
2076,6
4634,6
2075,6
5741,7
5008,7
1485,5
2010,6
1899,5
3514,3
5819,5
5040,6
3998,3
6425,6
1733,6
2925,6
1528,6
2332,6
3492,5
6177,5
5338,6
2599,6
512,5
5118,6
4024,7
1095,5
965,6
1163,5
5773,6
4154,5
2968,5
2294,6
2652,6
4632,5
4585,6
754,5
3471,7
3506,5
1513,6
210,4
664,5
6414,6
2418,5
2468,6
1127,6
4820,5
495,6
6256,5
2732,5
3053,6
2954,6
3663,5
4410,5
2153,4
4691,6
2971,6
2616,5
102,5
1610,5
3766,7
3072,7
2951,6
2087,4
4593,6
6184,5
3347,5
2806,6
3083,6
1815,6
4814,6
6316,4
6480,6
6471,3
3173,4
3539,6
1247,6
2778,4
3534,6
963,8
708,7
4145,5
1594,7
5734,5
1304,5
3748,7
6189,5
3245,6
3697,6
1859,6
475,7
4161,8
775,7
2486,8
2791,7
3583,6
6186,7
5924,7
4788,6
2589,6
5305,7
3164,6
451,7
2376,5
13,7
4807,7
2748,5
4499,8
5033,5
2910,5
5570,6
2488,7
4109,7
4195,6
1881,6
2242,7
758,7
1474,6
5610,6
5587,4
1970,6
2657,3
4859,4
4333,7
6492,6
543,5
4270,8
3804,5
450,6
2786,6
3967,7
5568,7
2682,5
2277,5
3946,6
4308,5
856,6
1279,5
3987,6
5536,6
345,8
2172,6
2834,6
1286,6
6350,5
1908,8
5070,5
2933,7
1486,8
4128,5
1882,7
2937,7
4329,5
3839,6
4457,8
2773,6
4055,6
2437,8
1307,6
2912,6
987,6
5726,5
5554,5
3931,5
31,6
2800,7
3738,6
2716,5
270,4
5752,5
6226,6
3880,7
1258,6
2441,6
5410,7
5912,6
1411,8
3584,7
6234,4
4577,5
5471,5
2354,6
4310,7
4225,8
521,4
2938,6
5865,6
5590,6
372,6
6059,5
167,6
5936,6
5411,7
3507,5
3654,4
759,6
4614,5
4273,5
64,5
5986,6
4396,5
4671,7
3488,5
1642,5
3585,6
5097,6
4275,5
3157,7
3754,7
1045,6
4171,7
5257,5
277,7
3156,6
2513,5
6224,7
6300,6
2538,6
817,6
5565,5
4531,6
5999,6
2424,4
1056,6
2361,7
1896,6
804,7
4521,6
2337,6
980,5
3817,4
5550,6
2979,4
3357,6
2168,6
4570,8
4485,6
1830,6
4891,5
3284,6
1248,7
3168,6
2071,6
288,6
5346,6
4146,5
961,7
610,7
4727,7
479,6
4092,6
5548,6
5666,7
2394,6
3528,7
192,7
5749,8
3087,7
2813,6
3274,6
5594,6
1805,5
5193,7
436,5
400,7
356,4
4983,7
6441,7
4676,6
1191,5
5790,6
1314,5
2624,5
5625,6
3846,5
1718,6
4376,6
1837,7
5659,6
4591,6
1892,6
742,6
702,6
2174,6
172,6
255,6
1173,5
5078,6
425,4
3670,6
3355,6
662,7
2425,5
686,7
2836,6
292,5
1501,6
2282,8
2935,7
3934,6
3297,6
337,6
4643,7
3957,6
6133,5
5225,7
5913,6
4929,6
3364,7
1004,5
2201,7
5390,5
4444,3
4232,7
3204,5
2899,7
1640,7
974,5
5186,8
1680,7
4996,5
2302,5
5404,7
333,8
4023,5
2710,6
731,5
4424,6
4900,6
2195,6
5774,7
1431,7
3571,6
3940,7
3071,6
3502,8
4107,7
4223,7
2327,7
4181,6
216,5
5044,6
1898,5
3887,5
3740,6
419,6
5989,6
5266,5
2405,7
89,6
4832,5
5611,5
3391,6
464,4
1944,6
6080,5
1490,6
2873,6
145,7
3679,5
2444,5
1847,7
6280,6
185,7
3674,6
1268,7
5742,6
5034,5
1346,4
1773,5
5481,7
5343,7
2537,7
3711,6
1246,5
1867,7
480,6
2506,7
2613,5
5048,7
3044,6
592,7
3659,7
3214,6
1960,5
283,7
975,8
1422,5
4642,6
1716,4
3249,6
6272,7
1928,5
3149,5
2739,6
4687,6
3907,4
2291,7
1214,6
3774,6
4406,6
4940,5
6222,7
2399,6
1221,7
3452,6
2227,6
2807,6
3994,5
4302,6
629,6
540,4
4792,5
2324,7
4211,7
5007,8
4913,6
4695,7
4170,7
420,6
5013,4
3648,6
1219,6
1649,4
4745,6
181,5
3256,8
5704,6
3936,4
4575,5
104,6
3409,7
2156,6
2483,4
4568,7
2278,5
2869,7
4692,6
6139,7
3601,5
1227,6
1518,5
123,6
65,5
2991,6
852,6
4197,6
1728,6
1300,6
1018,5
6462,5
841,7
3831,6
86,6
5828,5
4594,8
1352,4
1670,5
5409,7
1406,6
1776,5
196,7
2875,5
1047,5
285,6
115,5
1958,6
5882,8
6323,7
5268,6
4601,7
4993,8
3706,5
4212,4
397,7
6027,6
507,7
5479,5
4509,6
2315,6
2029,4
3097,6
2231,6
4864,5
2281,6
2609,7
4987,7
1137,6
4083,5
3111,6
964,8
2158,6
911,6
5115,7
5772,6
5873,6
523,6
5006,6
5235,7
5796,7
2192,5
5914,6
472,6
1888,4
4889,7
6296,6
1051,6
3222,5
4294,6
786,5
1531,6
559,5
4917,6
2543,5
5561,4
632,5
6434,6
2856,5
822,6
3564,6
2120,6
2045,6
4048,6
3972,8
1863,4
137,6
2433,6
4300,4
4291,6
3902,5
3025,6
1053,4
5723,6
1880,5
4253,7
3737,7
1329,6
2725,6
3883,6
241,5
4527,6
3271,6
3464,4
5957,6
4970,6
6463,5
2421,6
950,7
5770,4
5802,6
4738,6
2364,6
5874,5
2144,7
1207,6
4088,6
3188,7
3421,5
2097,6
4652,6
620,6
3848,6
2646,7
4514,5
2884,7
732,5
4393,6
5908,6
2765,7
5745,6
5535,6
132,7
5418,5
4058,6
6260,6
118,6
2696,6
650,6
3352,7
1282,5
111,7
108,6
2853,6
4052,7
4248,5
5662,5
5331,6
3038,5
4946,8
4103,6
6201,7
3382,7
6049,6
4867,7
155,8
1715,4
432,6
5263,8
5617,6
6362,5
3349,5
1954,6
1775,4
3525,6
4731,6
2761,8
4278,6
5060,7
477,6
2923,4
4193,5
4174,6
729,7
5340,6
3405,7
5321,7
3821,5
2982,7
51,8
717,5
1141,5
5437,5
1613,4
2126,6
4095,5
81,7
3692,6
2057,6
415,5
5032,7
1040,6
6024,6
6479,8
6102,6
969,5
4236,7
1135,5
982,5
1334,6
6458,6
4885,6
4828,7
2823,5
4068,6
6203,6
5188,6
1496,7
484,6
1404,5
874,3
4853,5
5212,5
782,6
5347,7
5334,6
5716,6
2755,5
4984,6
4220,8
4246,5
66,7
828,3
1679,5
3538,6
1877,6
6147,5
2947,6
5122,5
3658,6
2301,6
1192,6
3640,6
1692,7
2900,6
5564,3
5352,5
3017,6
5165,5
4649,5
2820,6
5917,6
3140,3
2383,6
6010,4
743,6
1921,5
1606,8
5569,5
263,5
4963,6
4374,3
6165,6
3799,6
6345,5
2320,6
4530,6
6066,6
867,5
1647,6
226,6
5098,5
6489,4
22,6
2430,6
3152,4
41,6
3717,7
865,5
4440,6
2779,5
749,5
585,6
1662,6
4838,7
4804,7
683,6
452,6
2784,6
6002,5
1423,6
644,6
2591,6
1814,5
280,5
435,6
5996,6
2913,7
3418,7
1757,6
2882,6
6497,6
5285,6
1038,5
1356,6
3638,7
640,6
2527,7
766,5
30,6
5498,7
95,5
1143,7
2095,5
5629,6
5846,5
5262,7
5495,6
4408,5
2007,7
2948,7
2864,7
2668,5
1366,6
5465,5
4646,6
734,6
5090,6
1579,7
5688,6
