id,quality
1257,6
6409,6
136,5
1631,7
6084,6
5434,6
1094,6
5146,6
5921,6
1076,6
616,5
4336,7
219,6
6403,6
2397,7
5240,5
3696,5
1070,6
5890,5
1270,5
4641,5
5299,6
2494,6
5276,7
332,6
3671,5
6367,6
5681,6
1741,6
4715,6
1114,6
4105,6
825,5
88,6
4551,7
227,5
1369,7
3722,6
2341,6
4882,6
2382,5
4075,6
687,5
2350,5
2634,5
5751,5
5934,6
6286,6
6004,6
4696,6
5628,6
3066,5
6267,5
3950,6
1834,6
848,6
5852,6
3034,6
1074,6
1184,5
3788,6
3267,6
5640,5
2076,5
4634,5
2075,6
5741,7
5008,7
1485,6
2010,6
1899,6
3514,5
5819,5
5040,6
3998,4
6425,6
1733,6
2925,6
1528,6
2332,5
3492,5
6177,5
5338,6
2599,6
512,6
5118,6
4024,6
1095,5
965,6
1163,6
5773,6
4154,6
2968,5
2294,7
2652,6
4632,5
4585,6
754,5
3471,7
3506,6
1513,6
210,6
664,5
6414,5
2418,5
2468,6
1127,6
4820,6
495,6
6256,5
2732,5
3053,6
2954,6
3663,5
4410,6
2153,5
4691,6
2971,5
2616,6
102,5
1610,5
3766,6
3072,6
2951,6
2087,5
4593,5
6184,5
3347,6
2806,6
3083,6
1815,5
4814,5
6316,6
6480,6
6471,4
3173,6
3539,5
1247,7
2778,5
3534,6
963,7
708,6
4145,5
1594,6
5734,6
1304,7
3748,7
6189,6
3245,6
3697,5
1859,5
475,6
4161,6
775,5
2486,6
2791,6
3583,6
6186,7
5924,7
4788,6
2589,5
5305,6
3164,5
451,6
2376,5
13,6
4807,6
2748,5
4499,5
5033,5
2910,6
5570,6
2488,7
4109,7
4195,5
1881,5
2242,6
758,7
1474,6
5610,5
5587,5
1970,6
2657,5
4859,6
4333,7
6492,6
543,5
4270,6
3804,6
450,6
2786,6
3967,6
5568,6
2682,5
2277,6
3946,6
4308,6
856,6
1279,5
3987,6
5536,5
345,7
2172,6
2834,5
1286,6
6350,6
1908,7
5070,5
2933,7
1486,6
4128,5
1882,6
2937,7
4329,5
3839,5
4457,7
2773,6
4055,5
2437,6
1307,5
2912,5
987,6
5726,5
5554,4
3931,5
31,6
2800,6
3738,6
2716,5
270,5
5752,5
6226,5
3880,7
1258,5
2441,5
5410,7
5912,6
1411,6
3584,7
6234,5
4577,5
5471,6
2354,6
4310,6
4225,7
521,5
2938,5
5865,6
5590,6
372,6
6059,6
167,6
5936,6
5411,6
3507,6
3654,5
759,6
4614,6
4273,6
64,6
5986,6
4396,6
4671,7
3488,5
1642,6
3585,5
5097,6
4275,5
3157,6
3754,7
1045,6
4171,7
5257,6
277,7
3156,7
2513,5
6224,6
6300,6
2538,6
817,6
5565,5
4531,6
5999,6
2424,5
1056,5
2361,7
1896,6
804,6
4521,6
2337,6
980,6
3817,5
5550,6
2979,5
3357,6
2168,5
4570,6
4485,6
1830,6
4891,5
3284,6
1248,7
3168,6
2071,5
288,5
5346,5
4146,6
961,6
610,6
4727,7
479,5
4092,6
5548,6
5666,6
2394,5
3528,6
192,7
5749,6
3087,6
2813,6
3274,5
5594,5
1805,6
5193,6
436,5
400,7
356,6
4983,7
6441,6
4676,6
1191,6
5790,5
1314,5
2624,4
5625,6
3846,6
1718,7
4376,6
1837,6
5659,6
4591,6
1892,6
742,6
702,7
2174,5
172,6
255,6
1173,6
5078,6
425,5
3670,7
3355,6
662,6
2425,6
686,7
2836,6
292,6
1501,7
2282,6
2935,6
3934,6
3297,5
337,6
4643,7
3957,6
6133,6
5225,6
5913,5
4929,6
3364,7
1004,5
2201,6
5390,6
4444,5
4232,6
3204,6
2899,6
1640,6
974,5
5186,6
1680,6
4996,5
2302,5
5404,7
333,6
4023,6
2710,5
731,6
4424,6
4900,6
2195,6
5774,6
1431,6
3571,6
3940,6
3071,7
3502,6
4107,5
4223,6
2327,7
4181,6
216,5
5044,6
1898,5
3887,6
3740,6
419,5
5989,6
5266,5
2405,7
89,6
4832,6
5611,6
3391,6
464,5
1944,6
6080,6
1490,6
2873,5
145,6
3679,5
2444,5
1847,7
6280,6
185,7
3674,7
1268,6
5742,6
5034,6
1346,6
1773,6
5481,6
5343,5
2537,7
3711,6
1246,5
1867,7
480,5
